uuid,KMeans_n_clusters_5,GaussianMixture_n_components_2
Eppb5VLzGSbTbe6bSP6PfWtAAn2Me5DX9hJqvW7z4I8=,3,1
Epr8Pszbyx8Qp1f1k4aj95RdZqY1toaciNcyl+u83is=,2,1
EprqCTbRcvbce2HYY9x6lX04a0KA2k48EBGeuypLojk=,4,0
Eprrz2hHywTEZIfFs4vhhUuTB7X7w3jeLvETD7rvYz8=,4,1
EptkEKrALqdNYV6yCzKL445BfQeCWlnTAXHm+tvlX7A=,4,0
EpudQcqPSWp6U+YMARgj98PPFS5m2DBAuOEwhb6zZbs=,0,1
EpvRGa8+wHe32nMGBpuF/tEU3rTtBKq/nghl/3LmKeQ=,4,0
Epx55JDMkYTqFETLAQUy+S2Avk7d0eAbXVinTlqFrCQ=,4,0
EpzkuYaySSonpMrT4URX0CSaKN5wgl9OJSPlRSjkfGg=,4,0
Eq1zmzNYn1kaD9hfE/bT2sqcRg7PIqKvyeBpkbRVPbo=,4,0
Eq3IlIm8WiQLHPMj0GdwogmggzCloux3+5+T/Rob71s=,3,0
Eq66f1zXkX7QaxOdF6UVOKuFoGTzX4hMm60Vem9c1JY=,4,0
EqBLbL6WqwEvF0Z4+G5kD4B4ZjVkUyEV7jkFgIwa/zk=,4,0
EqJv6g9kUbX/Bd7jyW7+mcEp5+/DlOewjm/CeC03HWw=,4,0
EqLtqrQDY6u3C0ZttvkvkALMtCEvIyFfMnR9gSxGNOE=,3,1
EqMlh6s24pcd22R9ie4wjKYDvNvOjwLdeTuSNuPJ90Q=,4,0
EqOgvRalkIUfzj5z/X6cfhKYSNMiw306oO/9I5HsrkU=,2,1
EqQsrkMEBSxe/lsk/u2QN4YtdXXLS8TqEe+9ThuUtwc=,4,0
EqfxnlflstE5MGCBRFqgAEnlsZcPwlDCcoXMqboDueA=,4,0
Eqg+DDhChTFjnGaBoK4g5Z5wiubrRbKnqGHavddG1Nw=,4,0
Eqgafdj0IEMS9UhNrWXLt09PTNJnLtEn906fXbB7Elw=,2,1
EqmJ1nDC71jFLG+R4gh0FxFBNwrD/tk+PLEoNLpq4K8=,4,0
EqoG+xcuYSGCQXMJtTAoG+BUqSBVmtPmAfrUGvzuAaU=,4,0
Eqq9jh4uGD9JnvLcNkKMHnN05mx6gkFNGwz8v/tBod4=,4,0
EqtSQyxGx1VRhuG+Q0gurfkPqRamTOGvuhAUSMWsP24=,2,1
EqtkOJfQixYVw5XfeesRRYfVEGxP9wzZXUgutm10cxE=,2,1
EqwMNIXE1TDbedhTMMwWm93UxMW5uEYcvyTpCe3+GJY=,4,0
EqzdtmQtsfJbeUFU2f5SkAYyP3XTQ/2uSxLSZL6NHkc=,4,0
Er+G3dVV8U9XPD+eDX8zBq5ad4WaNiXtmMMJ/lgTKKM=,3,1
Er/UBSrUdqK1aR72RoUcp33RhjAQhtUNft7JZ3mmLCA=,4,0
Er6A63FUeljLgyOxQTOO2yekVMB9FxVSaF43ysKj+rA=,2,1
Er7elM7gN37xkYVUTJNmM9ZzawxbqmmGv9y+eAfSH5s=,1,1
ErB9IVGeEwryzYrl5QOnO+6FPnG1b/Lk/gFHrbi4oG8=,2,1
ErBVmSRjowZxi3EIPqMkG2nqp3ygjkgQUh01e19guPI=,1,0
ErJFT/ISUlhtolGRWQyKJ0f2ix8l/Yvs6MRzfr+uwOk=,1,1
ErKklD+qq9dXv9OtknTyFNXds7bmoVrsMdlhhhGZGus=,3,0
ErUkhflxbxEZs0oTg1kM7wSvyGACLQdB2SLKsUkK4jU=,4,0
ErYjf0wFyoO+jUacT3LfbA/57f1LRQXYQm4kIqSipcA=,4,0
ErbttyKOh30F+gYo1FfHCj1m+1jSLp3Ap4glvBI6+CA=,0,1
ErdipTTsCEQQNOP3KDlZC1iZ2xvNMtX2vomkEtaJTxM=,4,0
Erg/31Lwf9IS8KjgHDtBVHR2JTa4yA+UB5gVfmwwqZI=,1,1
ErjGGXUNNOIjvAJhvMPBqh/hygo5OkePzq4G9yiwt/k=,4,0
ErvLMC/dcdMsaVO7RN7oMv3MYks+27DChIGaaQgrUhE=,4,0
Ervwyv461bliVQ4svXXI5TsfWDnYSNQDOalqTTz9aVY=,1,1
ErzEuxyGbqjPSunGvLPwcRZYPivPJQd8YwxPT/JSYuU=,4,0
Es+/knoOKQlGvD9Fyv5BdNTpG3Aa+joH6Oum7KCxBJo=,1,1
Es+yffu/tnHThrfAwCLHWyqRwl/evfEe0ixAutqymXk=,4,0
Es/VX13yy/4/K4vcs2OWyPe/Eiw6nluRN2N4FiVSePY=,2,1
Es4K7AJ3Fof1C14B2vPxKgqO91n9+u/bZiJsca5MF7Y=,1,1
EsEhfyKEMF7RkLnNoNNqrvuZJ6Jt0FoLwds3kz//joM=,3,1
EsGGMxc0rS03LRYKfwoPpQ0opvWM89P455lzJ5oXoF0=,4,1
EsHEoPFeIIqfqJ1L5LpW+5DBnIbaS4OZCgSmSMkHEi8=,4,0
EsK1SHcRrZ2aki/g63iJ5LU+9caLKk/Cl3gCKh+bbV8=,4,0
EsMqjBz9z2ruH1Mdbozpy9Mzca4J/T5RJy5TQBmfJiw=,0,1
EsVvFUupVxuzlJG/KKVh6ECaug5u5AARbK9TlF0wdD4=,4,0
EskKcWK+OvSbEi7n6LKBosmVvXAYh09jArgIjkeudR8=,0,1
EslUbgMIKQ7CwsUjHMsCpEbMGXvFMITTVo0yLxK6qLY=,2,1
EsnW7TRfkLQCZ79kOkhVSoEWJLy3naC/dYlirMPVEmE=,4,0
EssYhzgDp70DeNNy8dLiKbkO9IJ3+YHtcrnSbwokigY=,3,1
EsuNH+hsik5i+1Nq6phkpmPnaGIrOdxrbbJ0M3cDU9g=,4,0
Esy4Leo7LQA3X1fWeXNBr7uFfpdpz3wGaODA7DhPPGM=,4,0
Et/fX+viLeHPhEKX68OyPbOn4tEjUqiIjvo3aYO2U6A=,4,0
Et3uiu4IMQzx6NYyCEx6Uqb3Av8r+FzdY7Ng/oFr3xk=,3,1
Et6PYTW+Tt88G20vpTrb00EKy3IynzJoF1XiNkRD1ao=,4,0
EtC6xP82AwB9m9XkwE3cuyMp4cJ1p7D27Vgqbd24LpY=,3,1
EtGu0q0KzHPHnX5OXXROtmPR+uRh8GHhoxO7uog7yY0=,4,1
EtHQbkfpeQzPeq/wDHxCGoY64uuItsYpxdd3K7pFAYA=,4,0
EtIf59666xTNy9GiAafrl9TMkm+KKoHUKP+W2rekazA=,2,1
EtKQBDSkT29JfhsQYt44ofM2CDZTpwBY8o08ATKYd3Y=,4,0
EtOIPHJmsbHB7mf0CzGgiAJitbVDARJ6zhJPoKrIAhc=,4,0
EtPL1QijQ9fJbOY8Vw66+P1R0+yUVJ98sLJj1p21WMM=,1,1
EtUCYHwJGzEX+oekwQQJRMTt69rFSjXR+YmxizugZd8=,4,0
EtX3hIOxla1HDZgjBTOhajN6n17jnKEokYZu6bvwF0o=,3,0
EtfGvh7AvOtRnDSXtwpWSY1cSNZGWZr2Ja1v6RfFQLc=,4,0
EtiK0pKipFfGsRciZWgKfEmM1Wa+XJ7hKprgxZol6Q0=,2,1
Etk8eZm0SZK62DVu8nVOGPi2R02eL15HXp84EaaS/LY=,3,1
Etknx0BCM0YIbpbmTRNlOm6UUv/cngA/Uyo5wrOkBjU=,4,0
EtlkYyKiBjlULHavM2Doc2ZN0YB45Mz2FrumE4Omp8E=,4,0
EtmHy8r4C4gyvhx04z78QZYRBmT3/c0uVVrlvMOdz7o=,4,0
EttzinSKikjCFkm6NKFeEWokbghVKmrmbdda+zSqKTM=,4,0
EtuProjYgv7F4xruvys/sd2RFq+EM8iWlV5E6ihsNZE=,1,1
Eu6LM9phJyGSqTGFTK8b1HsM61/snsBp/qS5PT6I96M=,4,0
Eu6Y9hUZ0ZvDJFAqIYVc3+HpCFwLj5NapbzW7HYny54=,4,0
Eu8BaQZ7X9qXbREFzczEJKYgZB31uxCGZIK4o+TFZPI=,3,0
Eu9csoE08fvc1nMl2Jl+99jpw3XdnHj63tl0qxJMF9w=,4,0
EuCppv0VWiFGbuTnZ5lO2r2/DH7pTxP84r6oeAW5VVI=,4,0
EuJ/FZ9WZu2HmrNsM10PfansjdjjpOSu+giyyHRd26o=,4,0
EuQ0NPzoS+LnOrwJ1txejVjOSN34I3EYdKsK+huKf2A=,4,0
EuRCA54Ud0GpgVb+/E1qwuayqQO58p6mj8AaretO5eM=,1,1
EuYrT0f2bBxb1mZgHVsuxgwx3v1M5ObPf6Hxx5JGoYE=,4,0
Euagargc7MAz1/l4h0dnSK1PxUqiOSNN4tVP94hG0V4=,4,0
EubsqNuvvDVldqrE1hWn4cop87m49peNCJYkEg8xjiE=,1,0
EuldweLtbXM+FRat2YPdFLU+WoEXLDyqbfsmJshopKg=,1,0
EunrCuO3qx3DZUt9qfJPdVZZkVF7L53+S3ntLgMPQRQ=,4,0
EutNBCfgX+MprFuA35qSbKzDDPcgS/I693R3eLkMiM0=,4,0
EuvQigfJa5bIKWt2vo8H5pkJanmFNQ309n44TOFouEE=,4,0
Ev4ELgI2uMAodhc2oQkGiRCASR3KZNy6vEQcav2pebA=,3,0
Ev5R/IlXFbG01g6fPmzyJ/f/6L4ENBAWAYOmUANNjnw=,3,0
Ev7MA/4Oz4Azd32ZCcU7RrtVIBOWwMuAXIR9w0KShUM=,4,0
Ev7W3ictCw2rEvqfDGw+ZSpgyGj9hMWgO+JnacWuiIE=,2,1
EvCg1O85bB7GiS3C0+LARIOqJnBLalvDf+N1TK/Vzsc=,4,0
EvK0SMYDy2LrUYtMJyWi8nDTTvfb/d2pXO8WbB7nWME=,2,1
EvOW5R/KiOtA2iTOFFRr64UUXJLFhLByQUurzTEXQQk=,4,0
EvUgF6oNHtPlf2oMmrTsBiWB2WDtvDe7r4MpVj8O7EE=,0,1
EvWeu+3Fch7ZFQ0sxpBgzKSTAi0oHeRMTYQN/gS7wv8=,4,0
Eve0SrH28hlaFQjCV7rtggenXKuLgAxIFE9hhsX9j1k=,2,1
EvfnI2jEu5p4H8W68rRPzOyXqzw4PWtMggf0CLwn8zA=,3,1
Evqnh6pOsbXAVBStO3GtDwHBiyf641r9Sg2fzgdKfZE=,1,1
Evvvw3eKQFvFLIWspi8XayrZOduplC7tEE8OKHRJ0U8=,4,0
Ew4wPl7cJTUNATPyrDydoH4O1XEvO51Rji5yDvN5xF8=,4,0
Ew55MD8qUjkp+O6fKtjFZg4SKfTPUabAa4WOosJDjkg=,4,0
Ew6XnKiNI9Rvq2I8HSF4dm7uKY4i+mwVCu5aUDDrR8k=,4,0
EwCKxwmWR4CibrnS2xg/3qk1N1J7yVRT3cY3FHceTiU=,4,0
EwHEHKtbiSNrodAOkTbERWv+UMfy1eF4AzKPKpbSJWA=,4,0
EwKsZ/HTWMpWVNzij87g5zcyMQQK2TaydktqZsGA0cU=,4,0
EwSyQ8rraV7N/2DU7NPBOH6WbMq4Ti2EKjMz9PJDFNc=,4,0
EwaCzZrVlxEnZO2UjDr7BioRb0p37dkQiqGi6y+1Aio=,4,0
EwcH6KJNX/j9DAkSctvgghj/Xff7+bJJ8gGGIxMT6Ak=,2,1
EwcPZinn9UTTt3cKppV+TBYtHv0/BEdJY5aQQuaY7rk=,4,0
Ewrk6rxrPlImwDSN4iRD380gXply1Bfd8FbCjkdVRMQ=,4,0
Ex7PxQB+S+xY3Kdr99ckUzBn0rIFTkgKcIYr33PJEx8=,4,0
Ex7eoGSCi3HNpojjklOLvBow2vyyFjG0PhjpEqQ38E4=,1,1
ExA6dQ7ZPuOZTs1ykdds9W641DtelAPEPWW6EzByQh8=,0,1
ExCwpQtBH8PdX5sBY2Cbiizm5swCT+Uqgz9ItHtjbSQ=,4,0
ExD95QJDzDB+DJh3fqNH2toA9OwxyxrJIblVvUDXP6g=,1,1
ExMdlMKh4CfFreP+IuUTIz3o4jDle4hYFkN9DHzbT2w=,4,0
ExRKhQstkJcJBrHJm9MjcEIK9lB5F3FzG+hbu+KKXL8=,4,0
ExRXaomYGfWBU2VnLsY704s+XCHnGgPzwBYRe8zeMuc=,2,1
ExVEWs2JcJc+2RfE/rO+OYT9zUyjVZud15mB+qROtRs=,3,1
ExmPZOkDJsHvxujEvrkW6wA/O4m9+vC1V0MfJtVL3mU=,0,1
ExouZsztSuyM0P/A6vSfu/u7klYepEbdVerbZw6ktlA=,4,0
Ey6g9RacZwhx4Ona7yOESlFp1jZ0KKmzcunzoP9DsWg=,1,1
Ey7ZSd2+UhkH2crUwhdxHssfB8TphZaJhnLOwULt5rE=,4,0
Ey7w8+ZMrTZSgGl/XbWk/XejsiSc6t0kkvvIMLRNG5M=,4,0
EyAyTTjs3SrbqtYLAAMzQKaldM2Co0irMnZnW387DQw=,4,0
EyB5VLlc6zmn+YrifLqFtA/29Yo7aGeowRhMj0VfsYo=,4,0
EyBgFF5Bb30tYTb4csNud62spgv61ALEaK+CZp7wURs=,4,0
EyCjJcz31gNfHGd4QnTg8kTL0s/Bgl+lgvM3+nZ00TE=,4,0
EyFUcYp74CR7kumNiIXIWaGN5exk1/BH1DbgyLZdNMA=,4,0
EyG8ugmihXdN63HE2sJET3hkcygv5i+ZSp9NOV9pmgY=,4,0
EyGU4mxcZuDPuekENYuOszuDUHMgsThfFAj9LOJoP8E=,4,0
EyMSVhSA8Ew6kuawgB0wbOf3PPLfv+AgK4i7eTGaxfo=,4,0
EyNx6UpdXVnoKVa/j0hF/cGC3PalCnxxBJ9pIP0xBqI=,3,0
EyO/iSjnjGO6z4sxDbFDs16F0MsafrcwDa/gm8zQdw4=,0,0
EyUcz2EygF8OxLMOOk7sESYs0wMwIxNtLoqwfgJoDAg=,2,1
EybbOgqvaAB9qP0TbuFdo+UoBIiJaAmNBfuHoW+bX1c=,4,0
Eyhtxr83oxHSgpuO7xVHoOc5DMzuQtfXPJbAy5VJVY4=,2,1
Eym3irb7zAjmSoppLROV+aupP9qDMIoxRuz3qjU8dMo=,4,0
EyonW3gZyt/5aI8XnG0XeD5Jz+HbUYcIssw1t2wSx8c=,0,1
EyptXy3LA4TEoNY7AQezeVtkkH8kcFBlqLu1hIpHPG0=,4,0
Eyuk+AqWhqA0fYtQIvGVfcklFfFUHPdw9MAhYovT8DE=,0,1
EyynYOwvnr84xXjQh9VjtPFfmbgVJWDp1ZNA5DJZkyQ=,4,0
Eyyr/gFOj5P3UOs5e6ibOR1F3bx+zfhSjEAIaqSg1U0=,4,0
Ez+fPNTyI3f66mCenAAhlz6V9tX9PO5z/G86Yv3+BLg=,4,1
EzC4wzOOmNChnhefIsWfz5lpS7XcZKYv0/a/Udthwew=,4,0
EzCGD6TcHc++9o0Sp3zdJO/ZF3R23ih3BhgLh44m5Vs=,3,1
EzD+nId5vsTow3eoBcltVCg/t0OvUolyFEpbMYDH04Q=,4,0
EzEBJ0kY3H6S/ZMQQ8FgrrrlDGCOHzq8JNDRYQf5rbM=,3,1
EzFc03FHHjbJs9Qsxs1F6PO5B7NolmaizYyIQfzHtyg=,1,1
EzG23eohitd2puLxJ5BtWnpZ2dRyB7UumRwmMcgsZqo=,4,0
EzIGt8p3rjTlx9ErvKTYLRBT78asIWSDzU2POhE4IPo=,4,0
EzKVIMwkmayn5aeXRROydql2g0v6/CGykqI1uEeZdqU=,4,0
EzN2ny7PTh73kC/13Ms8fSZAJ6faoCw1t81xWSpbeCc=,4,0
EzaUxmtRp+ljzm0TZ+BVdZR1n2Qg8G3mzFAfUUTC/MU=,1,1
EzeymVAMvumBWrq3yZ/y08CMsI9nL4slFuV1HoLmFWE=,4,1
EzfFzJH02SPa8eUktooJSM3CVGQPlpUZ9W7FBrGid08=,2,1
EzhxzcdyYqPhnwF37SN3WeSoStdoHChxmipiiZhL8ik=,3,0
EzkrnLc/AXP+skeLm8lx4wmP5Miwt1a2Jxu7ZbosA+0=,4,0
Ezl9nX9EvLvI9EepnyJO9dA8R66wKjv5FgKl1v6HCW0=,4,0
EzmJHeYt6rJwjb9Ax9RLJZL2S28kvdUXOIGv/oGPBhQ=,4,0
Ezs5HrBjQ0PGCTTXr0WWgQH+JG8J/8VXQzZxWUVjRag=,1,0
EztSkFa3l83IpicHo1Z0tWxavklwptbGEt4VwvAFyB4=,4,0
Ezuv6nml0l6GnfgRPq/9djiJhNyp5l9LlN3rJqKRXj0=,4,0
EzuvMQgxBHCkdGKx0Ogvl2JcvcQuKpoeUT/EhJPIxAY=,4,0
Ezy4kjiCXdvVER4+qfbqm+AQZ4s16zzpklPM7qkVrZg=,4,0
F+0A4jOQ+QOCmVYJ0IxJbbKQThvpSEAjBaZ42kcbTlM=,4,0
F+FpLDrkiEOFFtpYGChaxUq8arheiGA2WTMSZfr7z4c=,1,1
F+IXb8ZknshHnUZUsvN2XWLqxTUaON2v2Fm/NU98WBY=,4,0
F+NRvAO+4mVNMJAsO/2KRFyPf3kx1BitinQtJKuEG5Q=,4,0
F+QojMKZj06CqIx9VOcTlO2iMO/xDC9Ag/oQlccrtU4=,4,0
F+SidE/5UprQxgzFuq++mj5IKo6PRkc4Psi4hBVLJyQ=,4,0
F+Xt00kQnNOJEZS/vou5aDRdBr0+xUf55mMgfvmjF9U=,4,0
F+gE9GYBtGzq1KOpKet6WEqyiH0L+i+sKpAZNGVINUw=,1,1
F+jqEzKCG8ENvYuUVpWuqhx3jF/cOAIIxAdmnMMEQoA=,4,0
F+kLzZnV1WlCrXH1W+sV9XhkYk+b1Y9eSJbzYLQJbeU=,4,1
F+xN8Y6OJWnKSCRQGS8i7zZAs2RpN3Eq94MLRYSFoE0=,4,0
F/1wyO+lF6k8lPEwpm68O9g+nRtD5+/i27xkq8EFzrc=,4,0
F/7jkZoQf/mau2/u+M8mDOrSuMmVPN9ncbT6nh3JHqc=,4,0
F/A4gAGdWqbNDMI5YZKroG3HoKGQpTXqeWi0zLUVrsw=,4,0
F/DxPuUcmPpTaXX9rJLAD6DZCjvLZgtQEWTBJgVqcHw=,4,0
F/FlP/NRRN2KBqBcxuYdK/rVIEPdiuW2V0AtOrwRJ1U=,4,0
F/HeNKhfRCE7vsPlsRQAyZ1J0/tVVvnNd6PAuwWfP9I=,4,0
F/NidPDTslCzlLgKgHamc0kY9gHCTgdMW4YIQkYvHTE=,4,0
F/SoNazA9Usx1X7zBEo9vdt6sVfR/MXngQ9cDhopVV4=,3,0
F/SpwmX1Nj7o85Qqx/m/xU2TFjqfhmo5GHAkntGI4aw=,4,0
F/Tk0vEDQDYspk1KlLRIKeXqVm14st++Vv5clHoPpCA=,2,1
F/Y5J8NL3p6O0vlBsz9Wk580RH2RvXSh0PxDofK4cwA=,3,1
F/ZGS9Bkc8B9XfVwigAkBIvNTrisKONLio5jieR3JWE=,4,0
F/b9qQDKFXGPO264eUK9ZetrJJTNQvGBfimGgUxWnLI=,4,0
F/dRkFctPmassm+NZaoee79TBUd+nblWjJNQFM1FiQ8=,4,1
F/ktzzFQeh9CrM6HspYGLOjkeS3HaL0FBdkJgh691x0=,1,1
F/pT9s5qs0+pdXAvoZvfgwD8pB5Wd4yNyYJtG+Rpj1g=,4,0
F/phxyjBwr6AVL/jvkmb/Jz7QHIWt3H3p+DZceU8YNM=,4,0
F/rMwkG+NLiN7OgZmBLhswu23ew9fZ65Xz7PsTCRU9s=,4,0
F/u7J16924mKrIlN9dRfSD7+698qEVrAccK7mLWijAA=,4,0
F/up6YQrjB7UgQRojkWs6fTtUk6d+eYMHyzqGSANV2A=,0,1
F/yflQbyHul97K319XqUY3tZELtMV8ySAyIZ6/ycf6A=,4,0
F/yuQeAduGL7ZKjuBOehkbyNYtktXjlbq9Yq/lzmB9U=,4,0
F/yzKhHEezGBf5NZNP34fE0vKNph0EP+cLTo8Dv3QTo=,4,1
F04OonclyCJ/EVmWHFZLTe23bB8DDZ55evW3LV4T0TY=,1,1
F0AcY4FX8xM/GwqUokmJ3IcjyJMVxomAkeaXubp619s=,4,0
F0B0JAlP+09610K/yhPtJM/HfugpJEmvxQ1rQhCSgks=,4,0
F0EK+Z7MocMJgOkMTehLwecXzX1h2kvAZQbGd7PyKSA=,4,0
F0EUX3lMZM5z5SybHia1RHjCsyw2abB5zH+r07jrzHQ=,4,0
F0GRp+azMic/RaoN1hskz1WKyyIZLuTF0SZS8zXV9QA=,0,1
F0Vh0rmOWQuiolhtu6DjdbyO3UIU5gZ4W8nmXKCxERU=,4,0
F0ZJAw5gsWeSUSmerwZhaiHAb0S4JAdHN5Df5v9Cp5M=,4,0
F0ehL3CBx93OJth6wnW6vIgV7Wd1sVRTsnELb0//p7g=,1,1
F0fYnACOk7twii5W4Ga7u9O2sSC4uKdIRTuPDHjBb3U=,4,0
F0h2DT+w3e8uDr4yyA20L2rww7ttAfz9FzV5cBFCR+8=,3,0
F0hKiwGdzytOnVNi3ZqI7HrqZpmULhktXvjxpCin8Wg=,2,1
F0sgWxodpWt8sezsyLNtH2+eWYIFGXn4EP9E1AaM+3U=,4,0
F0taw0kRuVfyWvddPWjdPooHb9qPN+yQNimdo6Xqj08=,4,0
F10bSN8uzdTogA939aijDakWZpcP42wDnS4EMN/NA8g=,4,0
F128i183kogANS0hfA0k2fKOFk+W7LU04CDazNxL4Qk=,4,0
F15+9C96LSm97VhGl3R2bzE7mI8eEGROQsCDY0gUN/Y=,4,0
F15lw+seNtJNlGUK5119r4t8isWyMIUua9I0bGGVdpY=,4,0
F15rRpapI0Puc/CmmVKOqRLxEcEVDMUOtwNmEf4ZR1k=,4,0
F17lvYWgvtC+x8iW6NTmCVqARvBoJ/I7XCDeFxY5s0A=,2,1
F19vxRzL4IHkQqIz4pxZqRVRqIcJ3BQ4h9v+vAUKP50=,4,0
F1FSIPTC6w60cQvn0z64k1rCxb0qFLOeN/zKZkdO7U4=,4,0
F1Hmd2sNpQ1qIFQw7u+gU1e8azxTyJDWMXCn2/bnA4c=,2,1
F1NIURNAgl9cjSUfGxILdmlydEi31CEtbzSjbl3UGjk=,4,0
F1PHcOKCnOUSclG3KA3CRPfzD/t1k6Sy0kVeSByP0no=,2,1
F1RqjrYXCRpS+7HJRycfNBcYy3DIbWVQf3vHxctd6FE=,4,0
F1TTTuQbzHrEV2jFAxUfo1t5AxYa2E6XVeDgcK3Bh10=,4,0
F1WJuD+t4XHRa/A5D/PNvBn5YFnnIvjZLLZmmFnIBIg=,3,1
F1aNBsGOsTOSipHf1Cbj0KZS2y0BYzmjGG3+AF4nToY=,4,0
F1bVedJkBSOUY1ESWan+1TAKjcwX0PzbVv1IeOo88b8=,4,0
F1cFDFO0OIxGW3pn7LlC9pT/NuwuG/ixXXHl4xDcS1k=,4,0
F1hrAULsy10dzHb1CbwUiHWXCWf6o1BBokn3WrC0G/o=,3,1
F1m6CX1j8Cz6T0lWkJnup55wYdOnFZyUW/a6CG6y3Zs=,4,0
F1mubVjz5v0rgBgAFeZQMZpqT7BUL0oXdGQZYLMTU7I=,4,0
F1nYjeD/GQhux4W/d+w3sp/9Ruk0kPupJrj10E/2ATI=,4,0
F1p8hnWCJmPh+g52wjk1DZWi56vtT3YHPKZio5FXgo8=,4,0
F1qXLg48k8gIy9Z5fWZBOWfF84QOL5uVv/5JnE6Knmc=,4,0
F1rGZPHJm7ZkmpBxdAy9/JkoXyV5N2t2yZXTI8oCwhk=,1,0
F1rcFoYGNq1vLxtnUByfipjmt3VPBLUI6unow7WGNWs=,4,1
F1tTlEbT1zAbPMd52RNgi2omJAG/4M9nE9zEynsSvDA=,4,0
F1ufjtcumoqXvDT9G2/pJPDFbPyoQTCMLRTSdqkKlFQ=,2,1
F29ESaQmU7FbVsQwCbq2noB9U5xPrAalyBO/IxsQ20g=,4,0
F2EUVvXcSgYODnPXpXFc73aecHDXiMWKih/+Y/OsYSM=,4,0
F2FPUQVWeSmh3bZUuZ0VyRD6nrAVfa/z5fyJslKEgcc=,4,0
F2HChZrwPfCvGHA3mLUI3iNYPYFAUhIu8FCE4dWtRMU=,4,0
F2NoTr85GM61MUTitazTMIMC03lqxEPfI93G5BfcHLc=,4,0
F2Ujq/lZ/rohotgyHhHsTRSWAXNgRH/G99TxEnQ+KKo=,4,0
F2Umahk4p86hKLIa876YlKckSp2kHWqfVkBydXTyeEY=,4,0
F2Wam/ZIjQ6ycZeQfWoK3aqpEy57FEZAcy18T2FD4vI=,4,0
F2cVHp6C94RTM5Juk2tzONsG0ZMoqYasuojbHzIRFN0=,4,0
F2fBYdX6uT+gop9naiUM0zeMIkL+0xoPdDIvEYQrd1E=,0,1
F2fIJHMJq+w2AF+LIy9dsDmh7mqN8E8BjSnKJD4YQhI=,4,0
F2t31Znc6na8ELLbA9RAcrb92JkqXO31skyp7gWHemI=,4,1
F3/vjbn19AB87aNyWvRXagbsobGeRF3sMo7MpVq60Gg=,3,1
F3AKqWnqExz6DCHNafov9cFDxTk2yJsw2OfDGu1m4gg=,4,0
F3EerYUi99t9aZ2KmGonXRPxsboFKughj8YuJM7Dfvs=,2,1
F3Eg4mZtVqJMrRFdRauVE6cBuXopM9a9+iUuH1vcOQs=,4,0
F3H6o5nyqqRzkaCQioyUm56kinrZlJ1fldW1SgvouZk=,4,0
F3Hf9/Ow3E7mczlzx1fPKK7W5ZHA15IqwDI+I6XEK7E=,4,0
F3L80Vpd8w8PSL+srmgcIs/NXzPKvwOw8m+1RD7fPsI=,1,1
F3NokRWnOfIOuU12HUMQa3CVQrlf4zJD630TYePiAro=,3,0
F3O58E+Rn+cq3pwrsZRdgeyVE7El6bcvJ40nzy8zBhw=,4,1
F3Oigy3UXI35E7im//sDC0BdUicwCP3i/Ua2U8X1g9c=,1,1
F3QCjL/XFJ9niPrmJqf8TtQo6ADnlz1wHXzm1sWlNeY=,4,0
F3QotG1ni90FkE/drhTg9/1l5hg6Q1eqMQ5QeFE1RBo=,4,0
F3SAQnJWSOGJb3kyQWnjeV1oAaaBGvlEhiC2oLHg4us=,4,0
F3STb+A8BH2h1/xx4gFFXbbiaZXqUcYicCNxkgHrpsI=,1,1
F3TXv1Ojwbo3kjYyTSXhcCejLTVgNeelopeV6anXqvk=,4,1
F3X+ost8emYtd6rCuxdt6aT1taF2WgRXO7v7Mpmyup4=,0,1
F3d7IcbWZ5pInw48ElsABav2xHqyVfvUJV1SqlUhGPw=,4,0
F3ghjTOVIqgpI1z7m/4ZTIMB4CBRQUe4LFuQ6Yi+9vQ=,4,0
F3qpUI6ttnJpUILdV7A49VykiPkn4++0J8DSPFJIrlM=,4,0
F3rEp7NOW71Czc5KxDPdf/wCqeD5fRlzjri2X0+3hH4=,4,0
F3syQcvjQRfjdbPeo2JQAHWyMNBrksdfL3aTUYCIzxU=,0,1
F3x8CGTFrigkjglJuOERa3ngEUi0cb0hIYAa77hcvOU=,1,1
F4//D4zcccZHl6DIp1IhXAtGlKTLYQOa0kyDQMEN3Ns=,1,1
F44HEo7cw4YrVZtj9/acgxJWk0VTHyFxZ9OyH0L0Wxw=,4,0
F45z2dVt9+u/cOIf38nN2UNRziEKu/q2GRVWlHMWpBg=,4,0
F47xj5DVEuwJzezZOddyQYQvXGBtsX924I4nbdUWKc8=,4,0
F48W9vM8c5ti5+QwgCLLty0xmQ5ohP7fEAQ6b2HV5KA=,4,0
F4AJim8I96hVg5tnLKH/NSYGOAASRg86AbvpZbRF0KY=,4,0
F4JBwO9fT7yFe/ZzWBUp/PRidJmk1FU8XOVibkKqHA8=,4,0
F4N+PWnQGEqiT+WzPt0G03/AyOCVBtrMoZojQASOgQk=,4,0
F4P7/QwJEIo7t8A5j3D9AkOpRMyP7kwpaRb7o7YgEEc=,3,1
F4PFIPnsKQljGNIQK6UQTs0D5aVRMvEj4R8jHpI5iZE=,4,1
F4RThdYQyHLgt1uXPOcuZsHp8I8T7yC+GBtWv/Em6LM=,2,1
F4U+odS9E/yIshpITj8HNun+CHUfGA65ix37NJ9FAec=,4,0
