uuid,KMeans_n_clusters_5,GaussianMixture_n_components_2
+CABD1L7v1KhAGc30iVPiqpGDRm7zl6cWxhMpmOscJY=,4,0
+CDe9KXT/kqg6BHTruhtyn87rKIKC5AHDS2lu7yV8Yo=,4,0
+CPJZBTHvfNgTnsJOXCVSYzHraua9vd7X/uZvzI7XMo=,1,1
+CPOVKmgjU2c7chCADCHgoTR516aTiPKepBFTVCO0WQ=,4,0
+CUBUSr5+qaupLwhf6pwuphmdAhOsAjsWFW/crfXA/8=,4,0
+CZXfEHxs7LrLMe9EnrY1jRnl5zsOs9dYUlGFk0pS7k=,1,0
+Ca5QEhx+H++hCaAhN/X8D4GEXt6rGPdIoi/rq4m6Kc=,4,0
+CdMnetOI8V6csAHGP0E2NsbNLQq8T7TH3Er93vfpOc=,4,0
+CevjP2CQU7B8zin2+otTSHd5hOp6aej05l8dB30yas=,1,1
+CjbYL4ZxycG+DvE0XuwW9Ho8pkgKj2lzzWwEeaiGQM=,4,0
+CpT30GOm/YPy5sQAYy8DwXbJ84W3DHy+x6I333nncI=,4,0
+Cto3yydqLmdCqmWU+EzBqmGR4RgmkxAkUsVsxe7u1Y=,4,0
+CwEUSaK7z1nixR36H11UNPJRwoJR5iLTLue8BAdwWM=,1,1
+CxgweW+EM4gOaZD7N3OjTLror+zRIoH2X1Oi9odZtE=,1,1
+D28nnHcPgL8V8jitdEjGAChdJetkzmrs8dIZRXBK74=,1,1
+D65vNiGrvy9ob8rdBMO6dwej4yxJxDA0G6sEMo0z2g=,4,1
+D75l35jqUV0mzHonHeEEnVWVIyH7jeXgVdgTT47ikA=,2,1
+DCLrvUd7HIWtnjC4qWzCT6sIeg2XP54HSsCS5yjxAg=,4,0
+DCkUbv/O3MKV2D5E0tc2Ht/smRceFFD02yr1jR9EKw=,4,1
+DJVWfn87XzChdYivtoE0DMLTMX0dekj0jXU3b0rVaY=,4,0
+DKuBsO4sS8GZPBKko+QYV1Z6zG9lkgBT+QGWmKygZg=,4,0
+DR1ym+VQMswfzK6aKewZQIXMwVZ5c1Clqyoejkx+Y4=,2,1
+DSF+iIdjz4zlrD/iIPROoNnd+5WOlwEGNkdVGVqru8=,4,0
+DZthHIm82NY6mZSF23pHj26+7fjYwCEajpUMpjYpJo=,0,1
+DeCdcIeZdhGhJXrasN/6qqKa4SF2arFmYF8huyQ+xw=,4,0
+Dn7IaU7KlCHLHc9sQTgZLHs9AUZNlOPvNvAmPZ4+8w=,3,1
+Dnxt8Q8bWeydB4n6JcuRnhOLnE6ZYPm8EiBvy6doCc=,4,0
+Dogjj70EA77tTMzaaMqE/qOjZAh5FVut8C6OO2HdQA=,0,1
+DpUk632fQdFVF7I05PYsa4rBCGnGXxvWuIQ1hU5JfE=,3,0
+Dttz2XxCom0st3wgsLU3OVU6jCuN7kbujI6uJ/r1cg=,4,0
+E/8efU9un3B4go+oXTiKToSjgx61hxD+cuWfaphe/s=,4,0
+E1mqJGiHAfGEiOFazEzkMW0bCYZ1wW7Ef5Oo1GZWDs=,4,0
+E4oHCGGSn/G5PKtJLBReycAcFeV2/Iwrw4YkCCGL0M=,3,0
+E5lL23DiGVryKpXWe4msEUpnatXK/j9l6FfcHgkesc=,4,0
+E6XD6Lsiz243KzdVk6WftPBYAZ0OsbOpKXTmh0AJS4=,3,0
+E9PF/Uf9jYPe6UF/G+dJODQXusxbbhXBzeqU+Dob9w=,4,0
+EF+U6GdIYi3TNkH1CEe7P/SJSss330nK8edunDykPs=,2,1
+EG2pOs8G9gzaynd7Bblfabq/WPPaef35Up8tj1kL5Y=,4,0
+ELhHmJOlnuOSag+rurWatASlqBF457+SDSpFrHkdyc=,4,0
+EQooJQ93dc8xbR0yx4/Y34lFmYwZ0cAypsP3ICuSv8=,4,0
+EXMkRlF+IFNJBHBzodazB6qTj2mvRBpD48uYkKT08E=,4,0
+EZRn3xXiOVmDZnsG8cKj1Xu0KPWCtlM1s8pjDcqIdk=,4,0
+EZzoWvHbxCgGnyXClfBVVCdCJCJSg+Fqj2UGzsYbQw=,4,0
