KMeans_hparams,KMeans,GaussianMixture_hparams,GaussianMixture
n_clusters_2,0.35196996891450577,n_components_2,0.3740226736703405
n_clusters_3,0.35350237559633374,n_components_3,0.11222682247109472
n_clusters_4,0.3892486125716028,n_components_4,0.11071995540784171
n_clusters_5,0.4028669995626011,n_components_5,0.029888944816693457
n_clusters_6,0.27329641868286186,n_components_6,0.04701840714909846
n_clusters_7,0.2806371358834155,n_components_7,0.01053952209629154
